"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1253,st816_Hailuoto,2020/04/16,2,"16 HA + PK",,,1,1,,,,,,,1,,3,,,2,,,,,1,
1253,st816_Hailuoto,2020/04/16,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,,
1253,st816_Hailuoto,2020/04/17,1,"11 HA-PA",,,,15,12,15,13,1,15,10,13,9,15,21,28,16,25,16,6,5,2,7
1253,st816_Hailuoto,2020/04/17,1,"12 KAIP",,,,1,,1,,,2,3,,,,,,,2,1,,,,
1253,st816_Hailuoto,2020/04/17,1,"13 Linja-autot",,,,,,1,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/17,1,"14 KAPP",,,,,,,,,,,,,,,,2,,,,,,
1253,st816_Hailuoto,2020/04/17,1,"15 KATP",,,,,,,,,,,2,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/17,1,"16 HA + PK",,,,,,3,2,,,1,,1,1,3,,,1,1,,1,,
1253,st816_Hailuoto,2020/04/17,1,"17 HA + AV",,,,,,,,,,,,1,2,1,,,,1,,,,
1253,st816_Hailuoto,2020/04/17,2,"11 HA-PA",,,3,16,9,6,8,1,20,25,15,21,29,4,11,7,5,3,5,1,4,2
1253,st816_Hailuoto,2020/04/17,2,"12 KAIP",,,,1,1,,1,1,,1,2,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/17,2,"13 Linja-autot",,,,,,,1,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/17,2,"14 KAPP",,,,,2,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/17,2,"15 KATP",,,,,1,,2,,,,,2,,,,,,,,1,,
1253,st816_Hailuoto,2020/04/17,2,"16 HA + PK",,,,1,,,1,,2,2,1,4,4,,,,1,,1,,,
1253,st816_Hailuoto,2020/04/17,2,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"11 HA-PA",,1,,,,29,15,22,17,17,18,11,11,14,16,13,9,4,7,5,,4
1253,st816_Hailuoto,2020/04/18,1,"12 KAIP",,,,,,,,1,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/18,1,"16 HA + PK",,,,,,1,,,5,4,,1,1,,,1,1,,2,1,,
1253,st816_Hailuoto,2020/04/18,1,"17 HA + AV",,,,,,,,1,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/18,2,"11 HA-PA",,2,,1,,5,5,1,19,15,22,26,26,13,23,15,28,9,4,2,6,
