"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22
1430,kt82_Salla_Kelloselkä,2020/03/21,1,"16 HA + PK",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/03/21,2,"11 HA-PA",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/21,2,"14 KAPP",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/22,1,"11 HA-PA",1,,,,,,,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/03/22,1,"13 Linja-autot",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/03/22,1,"14 KAPP",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/22,1,"17 HA + AV",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/22,2,"11 HA-PA",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/22,2,"14 KAPP",,,,,,,1,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/23,2,"11 HA-PA",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/23,2,"14 KAPP",,,,,1,1,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/23,2,"15 KATP",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/03/24,1,"11 HA-PA",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/24,1,"13 Linja-autot",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/24,1,"14 KAPP",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/24,2,"11 HA-PA",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/25,1,"13 Linja-autot",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/25,2,"13 Linja-autot",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/25,2,"14 KAPP",,,,,1,3,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/26,1,"11 HA-PA",,,2,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/26,1,"12 KAIP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/26,2,"11 HA-PA",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/27,1,"11 HA-PA",,,1,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/27,1,"13 Linja-autot",,,,,1,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/27,1,"14 KAPP",,,,,1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/27,2,"11 HA-PA",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/03/27,2,"13 Linja-autot",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/27,2,"14 KAPP",,,,,1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/28,1,"11 HA-PA",,,1,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/28,1,"13 Linja-autot",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/28,2,"13 Linja-autot",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/28,2,"15 KATP",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/03/29,1,"11 HA-PA",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/29,1,"13 Linja-autot",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/29,1,"14 KAPP",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/29,2,"11 HA-PA",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/29,2,"13 Linja-autot",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/30,1,"11 HA-PA",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/30,1,"13 Linja-autot",,,,,1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/30,2,"13 Linja-autot",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/30,2,"14 KAPP",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/31,1,"11 HA-PA",,,,,,,,,,,,,2,,,
1430,kt82_Salla_Kelloselkä,2020/03/31,1,"13 Linja-autot",,,,,1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/31,2,"11 HA-PA",,,,,,,,,,,,,2,,,
1430,kt82_Salla_Kelloselkä,2020/03/31,2,"13 Linja-autot",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/31,2,"14 KAPP",,,,,,2,,,,,,,,,,
