Station id,Station name,Date,Number of trips
54,Gyldenintie,2020-03-26,21
54,Gyldenintie,2020-03-27,27
54,Gyldenintie,2020-03-28,56
54,Gyldenintie,2020-03-29,39
54,Gyldenintie,2020-03-30,21
55,Puistokaari,2020-03-23,8
55,Puistokaari,2020-03-24,5
55,Puistokaari,2020-03-25,3
55,Puistokaari,2020-03-26,10
55,Puistokaari,2020-03-27,12
55,Puistokaari,2020-03-28,25
55,Puistokaari,2020-03-29,27
55,Puistokaari,2020-03-30,22
56,Luoteisväylä,2020-03-23,2
56,Luoteisväylä,2020-03-24,17
56,Luoteisväylä,2020-03-25,18
56,Luoteisväylä,2020-03-26,14
56,Luoteisväylä,2020-03-27,22
56,Luoteisväylä,2020-03-28,56
56,Luoteisväylä,2020-03-29,34
56,Luoteisväylä,2020-03-30,16
57,Lauttasaaren ostoskeskus,2020-03-23,0
57,Lauttasaaren ostoskeskus,2020-03-24,0
57,Lauttasaaren ostoskeskus,2020-03-25,18
57,Lauttasaaren ostoskeskus,2020-03-26,0
57,Lauttasaaren ostoskeskus,2020-03-27,0
57,Lauttasaaren ostoskeskus,2020-03-28,30
57,Lauttasaaren ostoskeskus,2020-03-29,1
57,Lauttasaaren ostoskeskus,2020-03-30,20
58,Lauttasaarensilta,2020-03-23,0
58,Lauttasaarensilta,2020-03-24,0
58,Lauttasaarensilta,2020-03-25,0
58,Lauttasaarensilta,2020-03-26,0
58,Lauttasaarensilta,2020-03-27,11
58,Lauttasaarensilta,2020-03-28,39
58,Lauttasaarensilta,2020-03-29,33
58,Lauttasaarensilta,2020-03-30,25
59,Salmisaarenranta,2020-03-23,10
59,Salmisaarenranta,2020-03-24,13
59,Salmisaarenranta,2020-03-25,14
59,Salmisaarenranta,2020-03-26,18
59,Salmisaarenranta,2020-03-27,14
59,Salmisaarenranta,2020-03-28,6
59,Salmisaarenranta,2020-03-29,10
59,Salmisaarenranta,2020-03-30,20
60,Kaapelitehdas,2020-03-23,0
60,Kaapelitehdas,2020-03-24,0
60,Kaapelitehdas,2020-03-25,0
60,Kaapelitehdas,2020-03-26,0
60,Kaapelitehdas,2020-03-27,0
60,Kaapelitehdas,2020-03-28,0
60,Kaapelitehdas,2020-03-29,0
60,Kaapelitehdas,2020-03-30,0
61,Länsisatamankatu,2020-03-23,8
61,Länsisatamankatu,2020-03-24,16
61,Länsisatamankatu,2020-03-25,14
61,Länsisatamankatu,2020-03-26,19
61,Länsisatamankatu,2020-03-27,37
61,Länsisatamankatu,2020-03-28,36
61,Länsisatamankatu,2020-03-29,33
61,Länsisatamankatu,2020-03-30,18
62,Messitytönkatu,2020-03-23,17
62,Messitytönkatu,2020-03-24,17
62,Messitytönkatu,2020-03-25,11
62,Messitytönkatu,2020-03-26,20
62,Messitytönkatu,2020-03-27,17
62,Messitytönkatu,2020-03-28,40
62,Messitytönkatu,2020-03-29,23
62,Messitytönkatu,2020-03-30,30
63,Jätkäsaarenlaituri,2020-03-23,24
63,Jätkäsaarenlaituri,2020-03-24,21
63,Jätkäsaarenlaituri,2020-03-25,32
63,Jätkäsaarenlaituri,2020-03-26,26
63,Jätkäsaarenlaituri,2020-03-27,23
63,Jätkäsaarenlaituri,2020-03-28,35
63,Jätkäsaarenlaituri,2020-03-29,49
63,Jätkäsaarenlaituri,2020-03-30,28
64,Tyynenmerenkatu,2020-03-23,32
64,Tyynenmerenkatu,2020-03-24,35
64,Tyynenmerenkatu,2020-03-25,29
64,Tyynenmerenkatu,2020-03-26,38
64,Tyynenmerenkatu,2020-03-27,52
64,Tyynenmerenkatu,2020-03-28,66
64,Tyynenmerenkatu,2020-03-29,59
64,Tyynenmerenkatu,2020-03-30,52
65,Hernesaarenranta,2020-03-23,0
65,Hernesaarenranta,2020-03-24,0
65,Hernesaarenranta,2020-03-25,3
65,Hernesaarenranta,2020-03-26,18
65,Hernesaarenranta,2020-03-27,8
65,Hernesaarenranta,2020-03-28,22
65,Hernesaarenranta,2020-03-29,40
65,Hernesaarenranta,2020-03-30,11
66,Ehrenströmintie,2020-03-23,0
66,Ehrenströmintie,2020-03-24,4
66,Ehrenströmintie,2020-03-25,6
66,Ehrenströmintie,2020-03-26,16
66,Ehrenströmintie,2020-03-27,10
66,Ehrenströmintie,2020-03-28,31
66,Ehrenströmintie,2020-03-29,27
66,Ehrenströmintie,2020-03-30,17
67,Perämiehenkatu,2020-03-23,18
67,Perämiehenkatu,2020-03-24,14
67,Perämiehenkatu,2020-03-25,9
67,Perämiehenkatu,2020-03-26,12
67,Perämiehenkatu,2020-03-27,19
67,Perämiehenkatu,2020-03-28,24
67,Perämiehenkatu,2020-03-29,27
67,Perämiehenkatu,2020-03-30,24
